Sample name (T Johnson sample name)	Sample type	Sample date	Malinowski sample name	Treatment Type 	Treatment ID 	Sex	d15N	d13C	StdLength_cm	MaxWidth_cm	Total Weight (g)	unidentified cladocera	bosmina	daphnia	ostracod	copepod	trobidiformes	chironomid	Ephemeroptera	Notes
1YP	gut 	07/17/19	YP001	Control 	Source Pond	M	8.002710821	-23.47574018	4.0386		1.0222	297	468	42	7	6	0	0	0	
2YP	gut 	07/17/19	YP002	Control 	Source Pond	M	NA	NA	4.318		1.2802	15	19	11	38	0	0	0	0	
3YP	gut 	07/17/19	YP003	Control 	Source Pond	M	7.37617099	-24.21625275	4.191		1.297	271	328	128	5			1	0	
4YP	gut 	07/17/19	YP004	Control 	Source Pond	M	6.83	-23.90	4.0132		1.0581	0	0	2	0	0	0	11	0	
6YP	gut 	07/17/19	YP006	Control 	Source Pond	F	NA	NA	4.1656		1.0777	37	16	2	1	0	0	0	0	
7YP	gut 	07/17/19	YP007	Control 	Source Pond	F	7.696446942	-24.69018079	4.1148		1.1577	44	344	25	2	0	0	0	1	
8YP	gut 	07/17/19	YP008	Control 	Source Pond	F	7.579346047	-24.9312304	3.7846		0.818	0	0	0	0	0	0	0	0	
9YP	gut 	07/17/19	YP009	Control 	Source Pond	F	6.534445755	-24.57578437	4.6228		1.4615	0	0	0	0	0	0	0	0	
10YP	gut 	07/17/19	YP010	Control 	Source Pond	M	NA	NA	4.0132		1.0581	0	0	0	1	0	0	0	0	
11YP	gut 	07/17/19	YP011	Control 	Source Pond	F	NA	NA	4.1656		1.2751	49	68	10	3	0	0	0	0	
12YP	gut 	07/17/19	YP012	Control 	Source Pond	M	NA	NA	4.1402		1.1494	1	0	0	3	0	0	0	0	
13YP	gut 	07/17/19	YP013	Control 	Source Pond	M	NA	NA	4.1402		1.2274	0	0	0	0	0	0	0	0	
15YP	gut 	07/17/19	YP015	Control 	Source Pond	F	NA	NA	3.7592		0.8116	0	0	0	0	0	0	0	0	
16YP	gut 	07/17/19	YP016	Control 	Source Pond	M	NA	NA	3.9624		1.064	12	4	0	0	0	1	0	0	
YP61	gut 	9/10/19	YP061	Benthic	B1	F	10.16557436	-17.40966553	6.29	1.52	3.762	22	0	0	0	0	0	5	12	
YP62	gut 	9/10/19	YP062	Benthic	B1	M	10.86317541	-17.19619363	8.67	2.22	10.7686	0	0	0	0	0	0	1	3	
YP63	gut 	9/10/19	YP063	Benthic	B1	NA	NA	NA	7.93	2.1	8.5637	0	0	0	0	0	0	0	3	
YP64	gut 	9/10/19	YP064	Benthic	B1	F	10.34472872	-16.93369469	5.83	1.4	3.2362	32	0	0	0	0	0	0	11	
YP65	gut 	9/10/19	YP065	Benthic	B1	M	10.32471147	-18.04497424	5.3	1.23	2.3302	93	0	0	0	0	0	0	10	
YP66	gut 	9/10/19	YP066	Benthic	B1	F	9.846299267	-16.77129262	6.78	1.52	4.3692	0	0	0	1	0	0	1	21	
YP81	gut 	9/10/19	YP081	Benthic	B2	M	10.12553986	-16.30655715	5.53	1.47	3.0747	0	0	0	0	0	0	18	15	
YP82	gut 	9/10/19	YP082	Benthic	B2	M	10.20660971	-18.64964105	6.13	1.44	3.2767	105	0	0	0	0	0	0	0	
YP83	gut 	9/10/19	YP083	Benthic	B2	M	10.49685979	-17.81005301	5.58	1.31	2.6726	52	0	0	0	0	0	1	12	
YP85	gut 	9/10/19	YP085	Benthic	B2	M	NA	NA	7.23	1.71	5.7133	0	0	0	0	0	0	0	0	
YP86	gut 	9/10/19	YP086	Benthic	B2	F	9.746213032	-19.10314116	5.72	1.26	2.6093	87	0	0	2	0	0	2	23	
YP87	gut 	9/10/19	YP087	Benthic	B2	M	NA	NA	6.08	1.39	3.3465	5	0	0	1	0	0	0	14	
YP101	gut 	9/10/19	YP101	Pelagic	P1	M	10.39277011	-16.4127824	6.28	1.54	3.7551	0	0	0	0	0	0	16	6	
